sheet,date,chimney_angle_deg,h2_flow_sccm,arc_current_mA,max_beam_current_nA,ps1_position_mm,ps1_width_mm,ps2_position_mm,ps2_width_mm,asum_V,forward_power_kW,magnet_current_A,itr_amplitude_G,itr_phase_deg,itr_offset_G,otr_amplitude_G,otr_phase_deg,otr_offset_G,beam_x_mm,beam_y_mm,monpic_x_mm,monpic_y_mm,ps_beam_current_nA,wincc_beam_current_nA,extraction_efficiency
09-Jul-22,2022-07-09,-11.0,1.8,72.0,800.0,214.95,,215.45,,0.765,115.97,162.3199,155.0,96.0,50.0,11.7,130.0,14.0,1.3,1.5,,,43.2,,0.7916666666666666
23-Jul-22,2022-07-23,-11.0,1.7,78.0,800.0,214.0,0.15,215.1,0.15,0.765,114.51,162.3245,155.0,96.0,50.0,11.7,130.0,14.0,1.3,1.5,,,43.4,,0.8594470046082949
09-Aug-22,2022-08-09,-11.0,1.7,78.0,800.0,214.0,0.15,215.1,0.15,0.765,114.51,162.3245,155.0,96.0,50.0,11.7,130.0,14.0,1.3,1.5,,,67.0,,
03-Sep-22,2022-09-03,-9.0,1.9,95.0,400.0,215.35,0.15,216.15,0.15,0.765,114.51,162.272,154.0,90.0,44.0,11.0,125.0,15.0,1.9,2.2,,,36.8,,0.7309782608695652
15-Sep-22 ,2022-09-15,-10.0,1.7,105.0,800.0,215.1,0.15,216.0,0.15,0.765,114.51,162.298,154.0,90.0,44.0,11.0,125.0,15.0,1.2,1.5,,,29.1,,0.8350515463917526
24-Sep-22 ,2022-09-24,-10.0,1.7,70.0,800.0,115.0,0.0,116.0,0.0,0.765,114.51,162.2817,154.0,90.0,44.0,11.0,115.0,15.0,2.0,2.1,,,51.0,,0.7843137254901961
01-Oct-22 ,2022-10-01,-10.0,1.8,82.0,800.0,215.05,0.0,216.0,0.0,0.765,,162.3065,154.0,90.0,44.0,11.0,115.0,15.0,1.3,1.4,,,45.2,,0.8539823008849557
10-Oct-22 ,2022-10-10,-10.5,1.6,80.0,400.0,214.75,0.0,216.0,0.0,0.765,114.66,162.29,154.0,90.0,44.0,11.0,115.0,15.0,,,,,28.0,,0.75
23-Oct-22,2022-10-23,-11.0,1.5,67.0,800.0,215.25,0.0,216.1,0.0,0.765,114.597,162.3362,154.0,90.0,44.0,11.0,115.0,15.0,1.5,1.4,,,20.2,,0.8267326732673267
7- Nov-22,2022-11-07,-11.0,1.5,67.0,400.0,215.25,0.0,216.1,0.0,0.765,114.597,162.3362,154.0,90.0,44.0,11.0,115.0,15.0,1.5,1.4,,,19.61,,0.8669046404895462
27-Nov-22,2022-11-27,-11.0,1.6,60.0,400.0,215.0,0.0,215.7,0.0,0.765,114.49,162.317,154.0,90.0,44.0,11.0,115.0,15.0,,,,,39.9,,0.7568922305764411
11-Dec-22,2022-12-11,-11.0,1.6,60.0,400.0,214.9,0.0,215.75,0.0,0.765,114.49,162.3438,154.0,90.0,44.0,11.0,115.0,15.0,,,2.6,2.2,42.3,,0.7801418439716312
04-Jan-23,2023-01-04,-11.0,15.0,74.0,400.0,214.9,0.0,215.75,0.0,0.765,114.49,162.3221,154.0,90.0,44.0,11.0,115.0,15.0,,,,,30.9,,0.7249190938511326
07-Jan-23,2023-01-07,,,,,,,,,,,,,,,,,,,,,,48.8,37.2,0.7622950819672132
10-Jan-23,2023-01-10,-11.0,1.6,58.0,400.0,215.15,0.0,216.0,0.0,0.765,114.49,162.2915,154.0,90.0,44.0,11.0,115.0,15.0,,,,,23.7,,0.7637130801687765
20-Jan-23,2023-01-20,-11.0,1.6,,400.0,215.2,0.0,216.0,0.0,0.765,114.49,162.2775,154.0,90.0,44.0,11.0,115.0,15.0,,,,,47.0,,0.7468085106382979
4-Feb-23,2023-02-04,-11.0,1.6,,400.0,215.2,0.0,216.0,0.0,0.765,114.49,162.2775,154.0,90.0,44.0,11.0,115.0,15.0,,,,,47.0,,0.7468085106382979
20-Feb-23,2023-02-20,-11.0,1.6,,400.0,215.2,0.0,216.0,0.0,0.765,114.75,162.2775,154.0,90.0,44.0,11.0,115.0,15.0,,,,,46.6,,0.7832618025751072
06-Mar-23,2023-03-06,-11.0,1.6,73.0,400.0,214.75,0.0,215.75,0.0,0.765,114.79,162.3272,154.0,90.0,44.0,11.0,115.0,15.0,1.5,1.3,,,46.6,,0.8412017167381974
20-Mar-23,2023-03-20,-11.0,1.4,73.0,400.0,214.75,0.0,215.75,0.0,0.765,114.79,162.3272,154.0,90.0,44.0,11.0,115.0,15.0,1.5,1.3,,,,,
1-Apr-23,2023-04-01,-11.5,1.4,73.0,400.0,214.75,0.0,215.75,0.0,0.765,114.79,162.3272,154.0,90.0,44.0,11.0,115.0,15.0,1.5,1.3,,,46.0,,0.9061
29-Apr-23 ,2023-04-29,-11.0,1.9,85.0,400.0,214.75,0.0,215.75,0.0,0.759,,162.3131,172.45,90.35,37.0,10.8,123.8,10.5,,,,,66.7,,0.7691154422788605
12-may-23 (2),2023-05-12,-11.0,1.9,85.0,400.0,,,,,0.765,,162.3131,154.0,90.0,44.0,11.0,115.0,15.0,,,,,55.0,,0.7181818181818181
12-may-23,2023-05-12,-11.0,1.9,92.0,400.0,,,,,0.759,,162.3131,172.45,90.35,37.0,10.8,123.8,10.5,,,,,32.0,,0.734375
27-May-23,2023-05-27,-10.0,1.6,66.0,400.0,212.85,0.0,215.0,0.0,0.75,116.62,162.3665,154.0,90.0,44.0,11.0,115.0,15.0,2.3,1.7,1.7,3.0,45.2,32.98,0.729646017699115
12-Jun-23,2023-06-12,-10.0,1.6,,,212.85,0.0,215.0,0.0,0.75,116.62,162.3196,154.0,90.0,44.0,11.0,115.0,15.0,,,1.7,2.9,41.6,29.5,0.7091346153846153
